round,accuracy,precision,recall,f1,winner_office,attack_detected,epsilon_spent
1,0.7155,0.8379169104739613,0.358,0.5016640392362935,1,False,5.0
2,0.5998,0.3333333333333333,0.0005,0.000998502246630055,1,False,10.0
3,0.7678,0.9554831704668838,0.44,0.6025333789798014,1,False,15.0
4,0.9604,0.9997226844148641,0.90125,0.9479358401262161,3,False,20.0
5,0.974,0.999465811965812,0.9355,0.9664256198347108,2,False,25.0
6,0.9956,0.9997473471450228,0.98925,0.9944709726061824,0,False,30.0
7,0.9824,0.9578544061302682,1.0,0.9784735812133072,2,False,35.0
8,0.9804,0.9532888465204957,1.0,0.9760858955588092,0,False,40.0
9,0.9932,0.983284169124877,1.0,0.991571641051066,3,False,45.0
10,0.8846,0.7760962359332557,1.0,0.8739348918505572,4,False,50.0
